-1
-0.97077+0.24i
-0.97077-0.24i
-0.88478+0.46601i
-0.88478-0.46601i
-0.747+0.66482i
-0.747-0.66482i
-0.56541+0.82481i
-0.56541-0.82481i
-0.35049+0.93657i
-0.35049-0.93657i
-0.11459+0.99341i
-0.11459-0.99341i
0.12888+0.99166i
0.12888-0.99166i
0.36658+0.93039i
0.36658-0.93039i
0.58806+0.80882i
0.58806-0.80882i
0.88595+0.68121i
0.88595-0.68121i
0.84235+0.53892i
0.84235-0.53892i
0.70936+0.54543i
0.70936-0.54543i
