2.2429
-1
-0.97026+0.24206i
-0.97026-0.24206i
-0.88279+0.46977i
-0.88279-0.46977i
-0.74271+0.66961i
-0.74271-0.66961i
-0.55827+0.82966i
-0.55827-0.82966i
-0.34034+0.9403i
-0.34034-0.9403i
-0.10194+0.99479i
-0.10194-0.99479i
0.14231+0.98982i
0.14231-0.98982i
0.37579+0.92671i
0.37579-0.92671i
0.79974+0.60035i
0.79974-0.60035i
0.56984+0.82175i
0.56984-0.82175i
0.67228+0.7403i
0.67228-0.7403i
0.44585
