-1
-0.97096+0.23926i
-0.97096-0.23926i
-0.8855+0.46464i
-0.8855-0.46464i
-0.74855+0.66308i
-0.74855-0.66308i
-0.56796+0.82305i
-0.56796-0.82305i
-0.35407+0.93522i
-0.35407-0.93522i
-0.11896+0.9929i
-0.11896-0.9929i
0.12445+0.99223i
0.12445-0.99223i
0.92075+0.81647i
0.92075-0.81647i
0.36398+0.93141i
0.36398-0.93141i
0.59379+0.80462i
0.59379-0.80462i
0.82141+0.57034i
0.82141-0.57034i
0.608+0.53913i
0.608-0.53913i
