-0.92265+1.9547i
-0.92265-1.9547i
0.99269+0.12067i
0.99269-0.12067i
0.93474+0.35532i
0.93474-0.35532i
0.82128+0.57052i
0.82128-0.57052i
0.65426+0.75627i
0.65426-0.75627i
0.48281+0.98631i
0.48281-0.98631i
0.30528+0.95226i
0.30528-0.95226i
0.40037+0.81789i
0.40037-0.81789i
-1.0409+0.30267i
-1.0409-0.30267i
-0.91824+0.39603i
-0.91824-0.39603i
-1
-0.88583+0.25759i
-0.88583-0.25759i
-0.19748+0.41837i
-0.19748-0.41837i
