0.45116+1.4927i
0.45116-1.4927i
-0.83836+1.0922i
-0.83836-1.0922i
-1
-0.97296+0.23099i
-0.97296-0.23099i
-0.89151+0.45299i
-0.89151-0.45299i
-0.75182+0.65937i
-0.75182-0.65937i
-0.54848+0.83616i
-0.54848-0.83616i
-0.44223+0.57613i
-0.44223-0.57613i
1.2249+0.48877i
1.2249-0.48877i
0.18553+0.61384i
0.18553-0.61384i
0.91885+0.39461i
0.91885-0.39461i
0.99164+0.12905i
0.99164-0.12905i
0.70426+0.28102i
0.70426-0.28102i
