-1
-0.97107+0.23881i
-0.97107-0.23881i
-0.88593+0.46383i
-0.88593-0.46383i
-0.74945+0.66206i
-0.74945-0.66206i
-0.56942+0.82205i
-0.56942-0.82205i
-0.356+0.93449i
-0.356-0.93449i
1.2427
-0.12094+0.99266i
-0.12094-0.99266i
0.7745+0.97738i
0.7745-0.97738i
0.12369+0.99232i
0.12369-0.99232i
0.36916+0.92937i
0.36916-0.92937i
0.80468
0.62467+0.78089i
0.62467-0.78089i
0.49803+0.62849i
0.49803-0.62849i
