-1
-0.97074+0.24014i
-0.97074-0.24014i
-0.88465+0.46625i
-0.88465-0.46625i
-0.74673+0.66513i
-0.74673-0.66513i
-0.56495+0.82512i
-0.56495-0.82512i
-0.34984+0.93681i
-0.34984-0.93681i
-0.11379+0.9935i
-0.11379-0.9935i
0.12969+0.99155i
0.12969-0.99155i
0.36704+0.9302i
0.36704-0.9302i
0.58687+0.80968i
0.58687-0.80968i
0.85992+0.65513i
0.85992-0.65513i
0.73582+0.56058i
0.73582-0.56058i
0.85909+0.51182i
0.85909-0.51182i
