-1.6523+1.5036i
-1.6523-1.5036i
-1.3855
0.99249+0.12232i
0.99249-0.12232i
0.93308+0.35968i
0.93308-0.35968i
0.81775+0.57558i
0.81775-0.57558i
0.65333+0.75708i
0.65333-0.75708i
0.44973+0.89317i
0.44973-0.89317i
0.21995+0.97551i
0.21995-0.97551i
-0.015295+0.99988i
-0.015295-0.99988i
-0.28029+0.95992i
-0.28029-0.95992i
-0.14229+0.98982i
-0.14229-0.98982i
-1
-0.72174
-0.33106+0.30127i
-0.33106-0.30127i
