8.2706
1.3988
-1
-0.97008+0.2428i
-0.97008-0.2428i
-0.88197+0.47131i
-0.88197-0.47131i
-0.74046+0.6721i
-0.74046-0.6721i
-0.55264+0.83342i
-0.55264-0.83342i
0.043426+1.2224i
0.043426-1.2224i
-0.32478+0.94579i
-0.32478-0.94579i
-0.039102+0.99924i
-0.039102-0.99924i
0.2769+0.9609i
0.2769-0.9609i
0.029027+0.81705i
0.029027-0.81705i
1.0311
0.9698
0.71489
0.12091
